method,population,duration,pi_approximatation,error
TaylorSeries,100,0.0,3.131592903558552,-0.009999750031241206
TaylorSeries,1000,0.0,3.140592653839792,-0.0009999997500012014
TaylorSeries,10000,0.007071018218994141,3.1414926535900416,-9.999999975152107e-05
TaylorSeries,100000,0.06955718994140625,3.141582653589792,-1.000000000095369e-05
TaylorSeries,1000000,0.7146925926208496,3.141591653589794,-9.999999992515995e-07
TaylorSeries,10000000,7.494859218597412,3.1415925535897977,-9.999999539545001e-08
TaylorSeries,100000000,77.09257483482361,3.1415926435898176,-9.999975514318749e-09
NumpyMC,100,0.0,3.12,-0.02159265358979301
NumpyMC,1000,0.0,3.088,-0.05359265358979304
NumpyMC,10000,0.0,3.1324,-0.009192653589793043
NumpyMC,100000,0.003064870834350586,3.1458,0.004207346410206814
NumpyMC,1000000,0.022958993911743164,3.14082,-0.0007726535897929487
NumpyMC,10000000,0.21236920356750488,3.1410364,-0.0005562535897931653
NumpyMC,100000000,2.20462703704834,3.1415382,-5.445358979327963e-05
QCMC,100,0.17745256423950195,3.0,-0.14159265358979312
QCMC,1000,0.021330833435058594,3.136,-0.005592653589792995
QCMC,10000,0.14525079727172852,3.1588,0.017207346410206714
QCMC,100000,1.2796895503997803,3.13248,-0.009112653589792963
QCMC,1000000,12.617957353591919,3.131304,-0.010288653589793029
QCMC,10000000,127.32002449035645,3.1328296,-0.008763053589793124
QCMC,100000000,1283.800047636032,3.13236408,-0.009228573589793232
